Abhishek,23-08-81,UIN0001,Abhishek@mail.com,1287655553,Ahmedabad,Gujarat,APL,380001,23000
Aman,17-09-84,UIN0002,Aman@mail.com,9776543221,Mumbai,Maharashtra,BPL,400001,22500
Harsh,17-03-83,UIN0003,Harsh@mail.com,9987765234,Thiruvananthpuram,Kerala,BPL,695001,21500
Ayush,22-02-78,UIN0004,Ayush@mail.com,4335544553,Thiruvananthpuram,Kerala,APL,695001,21500
Aditi,21-08-79,UIN0005,Aditi@mail.com,8888777722,Mumbai,Maharashtra,BPL,400001,25500
Anjali,21-06-82,UIN0006,Anjali@mail.com,223377882,Ahmedabad,Gujarat,APL,380001,21000
Shubham,23-08-86,UIN0007,Shubham@mail.com,44557768443,Thiruvananthpuram,Kerala,BPL,695001,21000
Anushka,25-08-82,UIN0008,Anushka@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Rohit,23-08-83,UIN0009,Rohit@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,22000
Saurabh,22-08-83,UIN0010,Saurabh@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Muskan,22-07-84,UIN0011,Muskan@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Rahul,22-08-85,UIN0012,Rahul@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,23500
Utkarsh,22-03-86,UIN0013,Utkarsh@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Vaibhav,22-02-83,UIN0014,Vaibhav@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Amit,28-01-84,UIN0015,Amit@mail.com,3344990876,Mumbai,Maharashtra,BPL,400001,23500
Saumya,22-09-85,UIN0016,Saumya@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,24500
Rishabh,21-10-86,UIN0017,Rishabh@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Shruti,22-08-83,UIN0018,Shruti@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,23000
Himanshu,22-08-84,UIN0019,Himanshu@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,24500
Kajal,22-08-85,UIN0020,Kajal@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,20500
Ankit,22-08-86,UIN0021,Ankit@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Gaurav,22-08-81,UIN0022,Gaurav@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,21000
Nikhil,22-08-81,UIN0023,Nikhil@mail.com,3344990876,Ahmedabad,Gujarat,BPL,380001,23000
Siddharth,22-08-81,UIN0024,Siddharth@mail.com,3344990876,Ahmedabad,Gujarat,APL,380001,23000
Prashant,22-08-87,UIN0025,Prashant@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,24500
Priya,22-08-87,UIN0026,Priya@mail.com,3344990876,Mumbai,Maharashtra,APL,400001,21500
Harshit,22-08-87,UIN0027,Harshit@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,20500
Shashank,22-09-87,UIN0028,Shashank@mail.com,3344990876,Thiruvananthpuram,Kerala,APL,695001,22000
Akash,21-01-87,UIN0029,Akash@mail.com,3344990876,Thiruvananthpuram,Kerala,BPL,695001,21500
